form_record_id,parent_form_id,parent_field_id,parent_record_id,Date,Observation Method,Cubs#,Cub Age Class,LitterID,Year Summary,Cubs observed at end,Cubs
rec-ca8fcd86ab9f4ec0957a71f58c33ce2d,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-d20d4dd2a6d445ddab36d438f8b67595,2021-09-13,Aerial,2,1YO,1,,,Melissa
rec-8686c1d1929140b6844d97c0b23df6af,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-d20d4dd2a6d445ddab36d438f8b67595,2021-10-03,Visual,0,1YO,1,,0,Melissa
rec-834bcf23eecc4b76bc5c3ad9414ec581,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-ecda6057352a453b9ee8af0929f454a1,2018-09-21,Capture,0,,,,,Monica
rec-1c2dac889de54ba0907aa39d2cab5123,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-ecda6057352a453b9ee8af0929f454a1,2019-05-08,Aerial,0,,,,,Monica
rec-c558910f8e80425abf5dc17c5bb5a758,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-ecda6057352a453b9ee8af0929f454a1,2019-07-16,Aerial,0,,,,,Monica
rec-d156b25a34cb49b98b7a405fd1ea8816,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-575e4ba23b23473bb109a2d22361b4bd,2021-09-24,"Capture, RemoteCamera",0,,,,,Patty
rec-b08fb4e21b1a442a84f5ae351ea5478f,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-575e4ba23b23473bb109a2d22361b4bd,2022-05-24,Aerial,0,,,,,Patty
rec-c71b025acaef43abb91c96d03cb94c40,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-be8d857ce3cc41bd89749c7d4124bb6c,2017-09-19,"Capture, RemoteCamera",0,,,,,Phoebe
rec-b3559790015a44f49d8848573dfa7a60,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-d92741d029e74e6d846d96c59b725c81,2019-09-21,Capture,2,COY,1,,2,Polly
rec-824d7410ac5843d497f3525e22160563,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-d92741d029e74e6d846d96c59b725c81,2020-05-27,Aerial,1,1YO,1,,,Polly
