form_record_id,parent_form_id,parent_field_id,parent_record_id,Sample Type,Sample Barcode,Sample Label
rec-c915b13e4e98432e9ad7e1c46b6a98f8,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-ac60cfbeaca14a0ba3ae908e20bc692f,Tooth,14672,cl-EV200
rec-baa635182249427fa6250d15988c4a9a,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-83f68d6d137b4f5cb7beabb55461538f,Hair,15336,cl-EV201
rec-1e306e6ae56a432e924c01f892b024cd,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-83f68d6d137b4f5cb7beabb55461538f,Tissue,15334,cl-EV202
rec-ae114e5f05a346f8ae452f8fad703741,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-32e1d61c2b2b48088b1ce5cefdce76ef,Hair,14510,cl-EV204
rec-ce7b165c6e6045e78c06c4a8d55b5bb2,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-32e1d61c2b2b48088b1ce5cefdce76ef,Tissue,14511,cl-EV205
rec-970f83db0a3c4224ab2bf07fa2f13def,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-3ecfe407fafa42a88d82ada261d08003,Hair,14451,cl-EV206
rec-6f3af63ba61c41d6baafa88f975f3207,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-3ecfe407fafa42a88d82ada261d08003,Hair,14452,cl-EV207
rec-e1e758e108a64298a4c2ac088643cb84,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-3ecfe407fafa42a88d82ada261d08003,Tissue,14453,cl-EV208
rec-7e68abb56bc34672a3f37512d6cb2d78,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-3ecfe407fafa42a88d82ada261d08003,Tooth,14454,cl-EV209
rec-cc1e96110e314782b7eab99e4a4d435a,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-f5a097dea78742f784f8c4bb7ba5fe71,Hair,15339,cl-EV210
rec-eec9cb5cfc2944298556dee788a6e5ec,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-f5a097dea78742f784f8c4bb7ba5fe71,Hair,15340,cl-EV211
rec-2e426abf3df246ae9a024fb98de68c57,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-f5a097dea78742f784f8c4bb7ba5fe71,Tissue,15341,cl-EV212
rec-7763cbf7b54a44ea989b5aba9fabf65e,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-c89c3a40317b44bda68b63535ffe8320,Hair,14880,cl-EV228
rec-95c5a65c9d7f4604935e84761d51d293,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-c89c3a40317b44bda68b63535ffe8320,Hair,14881,cl-EV229
rec-d4d2752cef2c4528a92b25bd4075e69b,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-c89c3a40317b44bda68b63535ffe8320,Tissue,14882,cl-EV230
rec-9221e0696eeb413db2b4da414bdce2f9,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-c89c3a40317b44bda68b63535ffe8320,Tooth,14883,cl-EV231
rec-1f50e0d600ec4966aa5ca0f80ff532ea,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-f1750b9e64ea465a914df42d86dc44b1,Hair,14446,cl-EV235
rec-1503e0907c6642f08e8c6d47a575ea4a,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-f1750b9e64ea465a914df42d86dc44b1,Hair,14674,cl-EV236
rec-c2ac4d2742574ce7b08103fba18c56fc,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-f1750b9e64ea465a914df42d86dc44b1,Tissue,14447,cl-EV237
rec-e4b76c87c8044c80a0dd33098207fc0a,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-f1750b9e64ea465a914df42d86dc44b1,Tooth,14448,cl-EV238
rec-94b2f4bc38df40e0b8b165431de60cb7,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-9021e6adc3b1421b9fcd07c052e98e5e,Hair,14677,cl-EV246
